_ID (Object),Accession Number,Temp ID,Artist Sort Name,Display Artist,Display Title,Display Medium,Display Dimensions,Display Create Date,City,County,Feature Description,TGN ID,Geoname,Historic place,Neighborhood,Direction,Guess,Extent,State Province,Object Type,Media Filepath ,EMA web address
12565,80.35,,"Light, Ken",Ken Light,"Man with Cowboy Hat and Scarf, Pleasanton, California, from the series California Anonymous",gelatin silver print,7 in. x 6 in. (17.78 cm x 15.24 cm),1976,Pleasanton,Alameda,Pleasanton,2013394,,,,,,,California,photograph,I:\Images\04_Web\1980\80.35.jpg,http://www.sfmoma.org/explore/collection/artwork/12565
116508,,PST0047,"Owens, Bill",Bill Owens,"4th of July Parade, Pleasanton, California",gelatin silver print,8 1/2 in. x 6 in. (21.59 cm x 15.24 cm),1971,Pleasanton,Alameda,Pleasanton,2013394,,,,vertical,,,California,Photograph,I:\Images\04_Web\PST\PST0047_01_g04.jpg,
123920,,PST0525,"Owens, Bill",Bill Owens,"Protesting development, Pleasanton",gelatin silver print,5 3/4 in. x 8 1/2 in. (14.61 cm x 21.59 cm),ca. 1974,Pleasanton,Alameda,Pleasanton,2013394,,,,,,,California,photograph,I:\Images\04_Web\PST\PST0525.jpg,
136239,2010.167,PH10.084,"MacGregor, Gregory",Gregory MacGregor,Removing The Fender from a 1950 Studebaker,gelatin silver print,16 in. x 19 7/8 in. (40.64 cm x 50.48 cm),1979,Port Costa,Contra Costa,Port Costa,2013424,,,,,,,California,photograph,I:\Images\04_Web\PH\PH10.084_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/136239
104430,2001.319,PH01.032,"Adams, Robert",Robert Adams,"Edge of Redlands, California",gelatin silver print,11 in. x 14 in. (27.94 cm x 35.56 cm),1983,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.319.jpg,http://www.sfmoma.org/explore/collection/artwork/104430
104433,2001.362,PH01.035,"Adams, Robert",Robert Adams,"Vandalized cactus, Redlands, California",gelatin silver print,9 in. x 11 1/4 in. (22.86 cm x 28.58 cm),1982; printed 1999,Redlands,San Bernardino,Redlands,2013544,,,,horizontal,,,California,photograph,I:\Images\04_Web\2001\2001.362_01_b04.jpg,
104434,2001.349,PH01.036,"Adams, Robert",Robert Adams,Redlands,gelatin silver print,11 in. x 14 in. (27.94 cm x 35.56 cm),ca. 1980; printed 1998,Redlands,San Bernardino,Redlands,2013544,,,Orange County,,,,California,photograph,I:\Images\04_Web\2001\2001.349.jpg,
104435,2001.35,PH01.037,"Adams, Robert",Robert Adams,"Redlands, California",gelatin silver print,11 in. x 14 in. (27.94 cm x 35.56 cm),1983,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.350.jpg,
104438,2001.352,PH01.044,"Adams, Robert",Robert Adams,"Redlands, California",gelatin silver print,11 in. x 14 in. (27.94 cm x 35.56 cm),1982,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.352.jpg,
104440,2001.343,PH01.046,"Adams, Robert",Robert Adams,"Next to Interstate 10, Redlands, California",gelatin silver print,14 in. x 11 in. (35.56 cm x 27.94 cm),1983; printed 1998,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.343_01_g04.jpg,
